,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
20,4.47,26.7,4.64,47.51,43.36,67.72,33.46,7.59,31.61,7.74,4.47,33.58,17.85,20.11,61.65,1.83,1.12,37.8,1341.36,42.29,0.12,57.71,3.11,438.16,73.29,69.36,5.12,66.54,73.1,60.17,266.01,13.16,-4.64,21.52,4.92,6.51,0.29,3.48,0.03,223351,69919,96851,19584,-132,96719,69249,25255,-63447,-56748,1672506,966934,707330,528723,912858,7.76,15.72,17.18,0.45,0.73,0.14,594.58,1948.05,0.26,1026.23,-0.28,-0.04,-0.85,-0.09,-12,600611
21,2.37,18.15,2.32,16.01,13.78,78.93,10.54,3.62,29.71,3.84,2.37,22.04,5.94,5.89,129.13,0.42,0.41,22.49,1736.74,38.25,-0.12,61.75,2.31,76.22,61.94,135.09,3.61,71.59,140.15,56.23,282.27,81.62,0.51,-34.57,1.2,-7.16,0.28,6.48,0.19,583312,105854,80353,3206,1621,81974,57288,52172,244441,-39318,2593088,348793,991779,840423,1584457,3.57,4.78,56.44,75.01,0.18,0.22,3.6,1226.72,1.6,168.41,0.42,0.09,3.98,0.25,29.09,600004
22,5.77,13.9,5.99,8.29,7.58,85.48,6.32,7.56,55.21,7.55,5.77,16.48,4.66,-0.76,184.69,2.18,2.18,31,1806.15,23.58,0.05,76.42,1.25,184.8,30.85,65.5,1.66,75.65,63.63,30.78,360.25,40.16,27.65,19.79,6.88,14.86,0.56,5.25,0.64,78404,10895,5944,147,-45,5899,4954,4941,4093,-820,85926,44139,20259,20215,65489,7.85,2.77,97.39,1645.9,1.51,0.95,0.16,284.93,1.9,141.9,0.05,0.05,0.83,0.2,20.25,603813
23,11.34,11,12.17,12.02,10.79,88.57,8.99,15.53,179.26,15.07,11.34,10.52,0.75,5.38,101.93,3.18,2.98,90.95,-3512.72,24.74,,75.26,,942.48,32.87,,,58.33,29.29,32.6,,7.91,2.13,25.5,21.76,13.78,1.78,8.99,0.05,312540,34369,33729,1825,-11,33718,27966,25888,31533,6480,247886,193244,61329,60813,180068,16.29,16.41,16.46,21.22,13.47,1.35,12.72,199.53,1.72,156.99,0.1,0.13,1.12,0.51,51.85,603871
24,8.93,25.11,9,36.98,28.15,74.54,22.08,10.85,88.93,11.03,8.93,54.42,1.1,14.22,89.37,1.98,1.89,98.03,18511.63,19,0.6,81,6.24,125.01,23.45,90.6,7.15,75.79,97.58,20.77,559.64,71.31,5.3,9.1,12.96,11.33,0.81,0,0,5987252,1503528,1685608,242552,-3306,1682302,1208847,1207616,1102229,-312764,14798157,3101237,2811162,1565654,11140693,11.14,8.81,30.65,29.43,0.41,0.41,9.17,662.74,1.94,138.9,0.18,0.07,0.83,0.39,70.4,601006
25,-2.66,16.95,-2.59,-5.5,-6.67,82.8,-7.36,-64.09,-13.55,-16.03,-2.66,16.1,22.02,-8.79,-293.49,0.56,0.53,12.61,9.76,83.38,-0.2,16.62,6.52,79.4,501.53,249.69,28.16,73.77,347.57,491.43,112.88,22.26,-33.81,231.0,-64.65,-26.16,-0.18,2.43,-0.21,56620,9597,-3774,-216,504,-3270,-5464,-5915,-3201,-7120,156386,66023,130388,117571,8526,-48.73,1.44,187.64,13,1.04,0.35,20.77,768.14,0.81,331.9,-0.06,-0.02,2.25,-0.02,-2.72,600119
26,4.13,15.94,4.4,10.97,10.7,84,9.08,15.02,60.93,15.02,4.13,11.62,11.48,-1.37,152.05,1.1,1.07,34.68,341.66,72.49,4.15,27.51,12.6,56.96,263.55,166.57,31.41,78.65,242.86,155.44,230.68,46.44,28.64,85.05,17.53,17.01,0.61,3.19,1.9,403351,64277,43146,295,-873,42273,36606,37402,64281,3965,886313,294228,642519,267308,243795,16.07,4.34,62.18,43.37,0.64,0.48,6.23,557.16,1.49,180.63,0.16,0.07,1.76,0.1,24.05,002928
27,0.32,1.54,0.32,0.1,0.13,98.27,0.11,0.1,1.92,0.49,0.32,1.98,1.85,68.69,1509.98,1.32,1.27,39.86,162.71,36.05,0.43,63.95,7.35,185.87,56.38,77.64,10.79,59.75,83.89,54.84,240.67,38.95,30.34,-92.0,-2.19,-5.01,0,3.65,1.16,514493,7918,645,481,-121,524,103,-1010,-2621,3818,171241,79376,61739,60056,102384,0.1,32.48,8.31,149.73,5.75,3.04,1.8,88.8,6.85,39.39,-0.01,-0.02,-4.84,-0.04,-4.36,603223
28,3.98,6.29,4.01,4.59,4.4,93.47,3.21,6.58,29.71,6.54,3.98,6.99,2.1,1.12,143.14,2.19,1,39.03,2271.86,39.2,0.15,60.8,4.1,152.47,64.48,75.17,6.32,66.15,80.24,45.23,349.37,39.45,0.31,-4.79,6.04,2.73,0.3,3.27,0.05,1207943,76025,53161,644,-48,53113,38844,37301,43069,-22933,975047,499379,382253,228139,590513,6.69,47.4,5.7,4,2.05,1.25,67.58,216.07,2.42,111.77,0.04,0.04,1.11,0.11,18.88,600125
29,11.43,54.73,12.35,139.94,64.3,45.2,50.64,12.9,215.72,13.26,11.43,56.37,0.64,15.83,85.17,2.36,2.36,189.47,-3621.42,13.81,0.0,86.19,0.0,365.87,16.03,112.27,0.0,43.56,78.22,16,1450.88,24.64,18.95,26.98,13.42,21.75,2.07,8.41,0.15,820778,449173,527769,83904,-404,527365,399452,394918,370421,73801,3636893,1185073,502324,501574,3096873,13.4,5.37,50.31,225.19,0.65,0.24,1.2,1107.01,0.73,369.86,0.45,0.1,0.89,0.74,73.85,600009
