,总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),code
195,7.92,80.52,8.08,29.26,21.55,18.81,18.95,10.12,45.14,8.58,7.92,81.06,52.69,5.13,381.39,7.46,6.85,56.91,17844.9,7.75,0.08,92.25,3.69,320.98,8.4,42.19,4.97,77.43,52.05,7.55,303.81,28.62,27.88,32.15,5.94,6.03,0.49,7.43,0.94,51768,41684,11158,789,-229,10930,10500,9923,5003,-645,123966,64445,9607,8634,103791,10.53,1.79,150.69,2.09,0.96,0.43,129.37,633.21,0.76,353.03,0.1,0.04,0.51,0.52,57.94,300639
196,11.31,59.41,11.99,24.65,18.85,39.47,16.07,15,50.41,14.84,11.31,33.56,35.82,-0.71,315.52,3.41,2.98,121.27,-6463.28,23.79,0,76.21,0.01,101.53,31.21,33.62,0.01,74.37,33.62,28.58,448.19,23.96,10.68,23.5,21.96,16.17,0.52,1.62,0.14,319753,189976,60274,-365,-64,60210,52075,52124,56401,26029,454260,337856,108047,98942,347214,16.16,3.51,76.91,3,1.32,0.75,89.88,361.93,1.02,265.57,0.18,0.12,1.1,0.52,57,002262
197,2.4,70.15,2.83,16.7,13.08,27.86,11.14,2.9,73.86,2.9,2.4,69.51,49.53,4.76,528.97,3.4,3.03,233.35,-1034.63,17.21,0.3,82.79,4.33,313.35,20.79,73.09,8.06,60.14,69.34,15.14,183.59,20.33,9.93,28.4,48.48,45.29,0.74,2.94,1.28,120925,84825,15820,548,216,16036,13476,13293,23168,9554,562007,239356,96716,70432,465291,2.92,6.79,39.76,1.24,0.45,0.25,217.09,1064.67,0.52,524.17,0.19,0.04,1.72,0.24,32.89,002393
198,4.74,62.32,4.7,12.93,11.07,36.38,9.67,7.8,29.23,7.65,4.74,63.21,47.79,-2.1,563.92,1.33,1.02,38.07,776.27,38.05,0.04,61.95,0.41,176.77,61.41,84.5,0.66,59.33,85.07,58.05,267.77,34.45,4.07,3.73,-2.32,3.89,0.29,2.36,0.03,232622,144972,25750,-499,-42,25708,22660,21419,21880,-4506,474959,224641,180706,168860,290450,7.76,3.91,69.03,1.58,0.95,0.49,171.19,555.67,1.01,266.59,0.09,0.05,0.97,0.12,12.96,600351
199,5.04,58.58,5.21,27.94,21.23,40.45,17.25,6.27,46.76,7.43,5.04,14.19,34.6,2.38,275.79,1.41,1.03,25.94,1212.69,32.19,0.17,67.81,2,190.69,47.47,84.6,2.86,62.41,87.09,45.85,313.58,21.33,33.38,33.42,10.68,9.06,0.35,1.41,0.77,217489,127396,46171,1077,23,46193,27888,29261,39855,-34534,744510,304833,239650,216617,444764,6.48,2.24,120.75,1.25,1.66,0.3,216.48,894.63,0.74,367.25,0.18,0.05,1.06,0.17,18.4,002675
200,12.03,68.14,12.48,47.72,32.21,30.72,27.51,13.13,34.18,13.13,12.03,66.2,34.67,7.73,214.59,6.12,4.89,206.13,-24963.17,8.39,0,91.61,0,115.54,9.16,71.8,0,89.59,62.27,7.66,229.24,41.61,30.94,32.31,7.58,10.16,0.34,1.87,0.51,60761,41400,19573,1771,-280,19293,16715,14780,11341,982,138917,59673,11653,9745,127264,13.24,4.08,66.1,1.74,0.42,0.45,155.37,594.98,1.17,231.26,0.19,0.08,0.68,0.97,116.38,300016
201,11.82,91.41,12.34,63.37,35.55,8.11,30.9,17.6,66.77,17.6,11.82,91.29,47.88,1.84,255.41,1.97,1.72,17.55,7382.66,32.85,0.25,67.15,5.76,345.79,48.93,73.22,7.9,64.18,79.5,43.83,310.29,17.75,-7.05,14.53,48.96,13.62,0.68,1.91,-0.02,139424,127443,49568,587,329,49897,43084,41599,26820,-44064,364585,169962,119782,86298,244803,20.11,1.45,186.61,0.55,1.37,0.4,490.02,676.01,0.81,333.09,0.19,0.07,0.62,0.22,31.08,300601
202,3.63,64.77,3.81,7.83,6.6,33.98,5.74,5.08,16.13,5.08,3.63,54.93,46.46,-3.15,1012.49,2.18,1.47,42.76,1749.09,28.59,0.24,71.41,5.45,288.46,40.03,74.63,7.09,70.72,80.32,35.02,379.73,28.24,17.48,-14.78,7.88,22.94,0.16,3.71,0.34,65947,42717,4352,1.0,-133,4219,3786,3603,392,-9110,104323,44484,29824,20403,74499,5.17,5.16,52.33,1.77,0.96,0.66,152.87,406.63,1.45,186.44,0.01,0,0.1,0.01,1.92,300705
203,9.44,79.41,9.68,56.12,35.83,19.43,31.45,10.51,48.25,10.33,9.44,84.94,43.25,4.78,221.67,7.22,6.89,283.49,-1858.89,8.55,0.0,91.45,0.0,287.79,9.35,57.05,0.0,74.26,46.26,8.74,933.08,29.86,1.6,-6.19,7.01,10.22,0.49,1.66,0,157583,125141,56454,2700,0,56454,50304,42093,46295,2368,524893,302843,44893,41972,478668,10.71,2.4,112.6,1.57,0.41,0.31,171.49,876.91,0.54,499.63,0.29,0.09,0.93,1.03,110.3,002038
204,1.48,86.4,1.41,14.16,13.99,12.41,13.24,1.75,8.72,1.99,1.48,39.58,84.44,155.2,622.39,9.19,8.92,498.99,-3336.51,25.68,0.0,74.32,0.0,236.77,34.56,47.9,0.0,68.28,69.65,7.06,533.85,37.11,-11.86,381.85,-1.6,-9.12,0.07,8.39,2.51,43443,37534,6078,9406,-47,6031,4932,4615,3843,-52935,388150,187239,99693,20368,281142,1.77,0.95,284.81,1.11,1.57,0.11,244.06,2542.37,0.2,1365.71,0.09,0.01,0.67,0.04,18.87,002581
